18/03/21 05:11:21 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/21 05:11:22 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.5:8032
18/03/21 05:11:23 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/21 05:11:24 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/03/21 05:11:25 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/03/21 05:11:26 INFO input.FileInputFormat: Total input files to process : 3035
18/03/21 05:11:26 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/21 05:11:26 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1521605320044_0002
18/03/21 05:11:27 INFO impl.YarnClientImpl: Submitted application application_1521605320044_0002
18/03/21 05:11:27 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1521605320044_0002/
18/03/21 05:11:27 INFO mapreduce.Job: Running job: job_1521605320044_0002
18/03/21 05:11:35 INFO mapreduce.Job: Job job_1521605320044_0002 running in uber mode : false
18/03/21 06:26:54 INFO mapreduce.Job:  map 100% reduce 98%
18/03/21 06:27:00 INFO mapreduce.Job:  map 100% reduce 99%
18/03/21 06:27:06 INFO mapreduce.Job:  map 100% reduce 100%
18/03/21 06:27:11 INFO mapreduce.Job: Job job_1521605320044_0002 completed successfully
18/03/21 06:27:11 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=3420439283
		FILE: Number of bytes written=7284389417
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=234677161
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427608
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed reduce tasks=1
		Launched map tasks=3035
		Launched reduce tasks=9
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=123274544
		Total time spent by all reduces in occupied slots (ms)=6703888
		Total time spent by all map tasks (ms)=30818636
		Total time spent by all reduce tasks (ms)=1675972
		Total vcore-milliseconds taken by all map tasks=30818636
		Total vcore-milliseconds taken by all reduce tasks=1675972
		Total megabyte-milliseconds taken by all map tasks=63116566528
		Total megabyte-milliseconds taken by all reduce tasks=3432390656
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420584909
		Input split bytes=427608
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420584909
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =24280
		Failed Shuffles=0
		Merged Map outputs=24280
		GC time elapsed (ms)=695246
		CPU time spent (ms)=5619770
		Physical memory (bytes) snapshot=1472191434752
		Virtual memory (bytes) snapshot=10632320610304
		Total committed heap usage (bytes)=1337038209024
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=234677161
Job output is complete
